temperature	 b2xc	 b2b	 b2tot
Temperature(\si{\kelvin})	 B$^\text{xc}_2$(\si{cm^3/mol})	 B$^\text{B}_2$(\si{cm^3/mol})	 B$^\text{Tot}_2$(\si{cm^3/mol})
15.00	 -228.2(8)	 -227.6(8)	 -227.9(6)
16.00	 -206.9(7)	 -207.3(7)	 -207.1(5)
18.00	 -175.4(6)	 -174.6(6)	 -175.0(4)
20.00	 -149.4(5)	 -149.7(5)	 -149.5(4)
22.00	 -129.2(4)	 -130.0(4)	 -129.6(3)
24.00	 -113.7(4)	 -113.6(4)	 -113.7(3)
25.00	 -107.0(4)	 -107.0(4)	 -107.0(3)
26.00	 -101.1(4)	 -100.8(3)	 -101.0(2)
27.00	 -96.1(3)	 -96.2(3)	 -96.1(2)
28.00	 -90.0(3)	 -90.0(3)	 -90.0(2)
29.00	 -85.6(3)	 -86.1(3)	 -85.8(2)
30.00	 -81.0(3)	 -81.1(3)	 -81.1(2)
31.00	 -77.5(3)	 -77.2(3)	 -77.3(2)
32.00	 -73.5(3)	 -73.2(3)	 -73.34(19)
33.00	 -70.0(3)	 -69.5(3)	 -69.74(19)
34.00	 -66.4(3)	 -66.5(3)	 -66.47(18)
35.00	 -63.2(3)	 -63.2(3)	 -63.21(18)
36.00	 -60.3(2)	 -60.8(2)	 -60.57(17)
37.00	 -58.0(2)	 -57.6(2)	 -57.79(16)
38.00	 -55.4(2)	 -55.3(2)	 -55.36(16)
39.00	 -53.0(2)	 -53.1(2)	 -53.04(16)
40.00	 -50.7(2)	 -50.9(2)	 -50.76(15)
42.00	 -46.6(2)	 -46.2(2)	 -46.40(15)
44.00	 -42.57(19)	 -42.4(2)	 -42.47(14)
45.00	 -40.98(19)	 -40.9(2)	 -40.94(14)
46.00	 -39.5(2)	 -39.80(19)	 -39.64(14)
48.00	 -36.25(18)	 -36.41(18)	 -36.34(13)
50.00	 -33.52(19)	 -33.40(18)	 -33.45(13)
55.00	 -27.51(16)	 -27.40(16)	 -27.44(11)
60.00	 -22.32(15)	 -22.63(16)	 -22.50(11)
65.00	 -18.51(15)	 -18.58(15)	 -18.55(11)
70.00	 -15.18(14)	 -15.09(13)	 -15.12(10)
75.00	 -12.11(13)	 -12.07(13)	 -12.09(10)
80.00	 -9.54(12)	 -9.65(12)	 -9.62(9)
85.00	 -7.34(11)	 -7.17(12)	 -7.22(9)
90.00	 -5.24(11)	 -5.47(11)	 -5.40(9)
95.00	 -3.69(11)	 -3.69(11)	 -3.69(8)
98.15	 -2.76(10)	 -2.56(10)	 -2.61(8)
100.00	 -2.15(10)	 -2.17(10)	 -2.16(8)
103.15	 -1.19(10)	 -1.37(10)	 -1.33(8)
113.15	 1.02(9)	 1.10(10)	 1.08(8)
123.15	 3.11(9)	 3.08(9)	 3.09(8)
125.00	 3.55(8)	 3.39(9)	 3.41(7)
138.15	 5.41(8)	 5.32(8)	 5.33(7)
150.00	 6.94(8)	 6.93(8)	 6.93(7)
153.15	 7.40(7)	 7.30(7)	 7.30(7)
173.15	 9.11(8)	 9.19(7)	 9.18(7)
175.00	 9.36(7)	 9.38(7)	 9.38(7)
198.15	 10.89(7)	 10.92(7)	 10.92(6)
200.00	 11.11(6)	 11.08(7)	 11.08(7)
223.15	 12.25(6)	 12.09(6)	 12.09(6)
225.00	 12.26(6)	 12.24(6)	 12.24(6)
248.15	 --	 13.12(6)	 13.12(6)
250.00	 --	 13.22(6)	 13.22(6)
273.15	 --	 13.88(5)	 13.88(5)
273.16	 --	 13.76(5)	 13.76(5)
298.15	 --	 14.39(5)	 14.39(5)
300.00	 --	 14.43(5)	 14.43(5)
323.15	 --	 14.83(5)	 14.83(5)
348.15	 --	 15.17(5)	 15.17(5)
350.00	 --	 15.28(5)	 15.28(5)
373.15	 --	 15.53(5)	 15.53(5)
398.15	 --	 15.68(5)	 15.68(5)
400.00	 --	 15.70(5)	 15.70(5)
423.15	 --	 15.93(4)	 15.93(4)
450.00	 --	 15.94(4)	 15.94(4)
500.00	 --	 16.26(4)	 16.26(4)
550.00	 --	 16.27(4)	 16.27(4)
600.00	 --	 16.37(4)	 16.37(4)
700.00	 --	 16.30(4)	 16.30(4)
800.00	 --	 16.25(3)	 16.25(3)
900.00	 --	 16.10(3)	 16.10(3)
1000.00	 --	 15.98(3)	 15.98(3)
1200.00	 --	 15.63(3)	 15.63(3)
1500.00	 --	 15.05(3)	 15.05(3)
2000.00	 --	 14.20(3)	 14.20(3)
