temperature	 b3scb8a	 b3scb8na	 b3scb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.705(16)$\times10^5$	 4.22(4)$\times10^4$	 -3.282(16)$\times10^5$
55.00	 -1.759(7)$\times10^5$	 2.28(2)$\times10^4$	 -1.532(8)$\times10^5$
60.00	 -8.97(4)$\times10^4$	 1.397(13)$\times10^4$	 -7.57(4)$\times10^4$
65.00	 -4.79(2)$\times10^4$	 9.35(9)$\times10^3$	 -3.86(3)$\times10^4$
70.00	 -2.613(14)$\times10^4$	 6.56(6)$\times10^3$	 -1.957(15)$\times10^4$
75.00	 -1.428(9)$\times10^4$	 4.76(5)$\times10^3$	 -9.52(10)$\times10^3$
80.00	 -7.62(6)$\times10^3$	 3.68(4)$\times10^3$	 -3.94(7)$\times10^3$
85.00	 -3.63(4)$\times10^3$	 2.93(3)$\times10^3$	 -7.0(5)$\times10^2$
90.00	 -1.26(3)$\times10^3$	 2.38(2)$\times10^3$	 1.12(4)$\times10^3$
95.00	 2.0(2)$\times10^2$	 1.99(2)$\times10^3$	 2.19(3)$\times10^3$
100.00	 1.102(19)$\times10^3$	 1.694(18)$\times10^3$	 2.80(3)$\times10^3$
110.00	 1.963(12)$\times10^3$	 1.272(13)$\times10^3$	 3.235(18)$\times10^3$
120.00	 2188(9)	 1.001(10)$\times10^3$	 3.189(14)$\times10^3$
130.00	 2211(7)	 812(9)	 3.023(11)$\times10^3$
140.00	 2124(5)	 684(8)	 2808(9)
150.00	 2013(4)	 576(7)	 2590(8)
160.00	 1905(4)	 506(6)	 2411(7)
170.00	 1797(3)	 459(5)	 2256(6)
180.00	 1698(3)	 409(5)	 2107(6)
190.00	 1618(3)	 374(4)	 1992(5)
200.00	 1541(2)	 338(4)	 1879(5)
210.00	 1480(2)	 315(4)	 1795(4)
220.00	 1424(2)	 281(3)	 1705(4)
230.00	 1379(2)	 268(3)	 1647(4)
240.00	 1339.0(19)	 250(3)	 1589(4)
250.00	 1305.0(18)	 237(3)	 1542(3)
260.00	 1277.2(17)	 217(3)	 1494(3)
270.00	 1249.3(17)	 205(2)	 1455(3)
280.00	 1229.9(16)	 197(2)	 1427(3)
290.00	 1209.9(16)	 186(2)	 1395(3)
300.00	 1198.2(16)	 178(2)	 1376(3)
310.00	 1182.6(15)	 172(2)	 1354(3)
320.00	 1171.6(15)	 162.6(19)	 1334(2)
330.00	 1157.8(14)	 155.7(18)	 1313(2)
340.00	 1148.6(14)	 147.4(18)	 1296(2)
350.00	 1139.6(14)	 143.6(16)	 1283(2)
360.00	 1131.3(14)	 138.3(16)	 1270(2)
370.00	 1128.4(13)	 135.3(17)	 1264(2)
380.00	 1119.3(14)	 127.8(15)	 1247(2)
390.00	 1113.4(14)	 125.0(15)	 1238(2)
400.00	 1111.3(13)	 119.9(14)	 1231.2(19)
410.00	 1105.3(13)	 118.8(14)	 1224.1(19)
420.00	 1102.2(12)	 113.3(13)	 1215.6(18)
430.00	 1098.7(13)	 110.8(14)	 1209.5(19)
440.00	 1095.1(13)	 107.6(13)	 1202.7(18)
450.00	 1092.4(13)	 105.9(12)	 1198.4(17)
460.00	 1090.2(13)	 102.6(12)	 1192.9(18)
470.00	 1087.0(13)	 100.7(12)	 1187.7(18)
480.00	 1082.3(12)	 98.6(12)	 1180.9(17)
490.00	 1082.3(13)	 95.8(12)	 1178.1(17)
500.00	 1082.1(12)	 94.2(12)	 1176.2(17)
520.00	 1075.1(12)	 87.6(10)	 1162.7(15)
540.00	 1072.0(12)	 86.7(10)	 1158.7(16)
560.00	 1068.9(13)	 81.4(9)	 1150.4(16)
580.00	 1066.4(12)	 77.6(9)	 1143.9(15)
600.00	 1062.0(12)	 75.5(9)	 1137.5(15)
620.00	 1059.7(12)	 72.2(8)	 1131.9(15)
