temperature	 b3cb8a	 b3cb8na	 b3cb8tot
Temperature(\si{\kelvin})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -3.687(16)$\times10^5$	 4.196(12)$\times10^4$	 -3.268(16)$\times10^5$
55.00	 -1.765(7)$\times10^5$	 2.296(7)$\times10^4$	 -1.535(7)$\times10^5$
60.00	 -8.90(4)$\times10^4$	 1.393(4)$\times10^4$	 -7.51(4)$\times10^4$
65.00	 -4.80(2)$\times10^4$	 9.19(3)$\times10^3$	 -3.88(2)$\times10^4$
70.00	 -2.648(14)$\times10^4$	 6.50(2)$\times10^3$	 -1.998(14)$\times10^4$
75.00	 -1.425(9)$\times10^4$	 4.798(15)$\times10^3$	 -9.45(9)$\times10^3$
80.00	 -7.65(6)$\times10^3$	 3.677(13)$\times10^3$	 -3.97(6)$\times10^3$
85.00	 -3.64(4)$\times10^3$	 2934(10)	 -7.0(4)$\times10^2$
90.00	 -1.30(3)$\times10^3$	 2405(8)	 1.11(3)$\times10^3$
95.00	 2.1(2)$\times10^2$	 1995(7)	 2.20(2)$\times10^3$
100.00	 1.073(19)$\times10^3$	 1680(6)	 2.75(2)$\times10^3$
110.00	 1.926(12)$\times10^3$	 1271(5)	 3.197(13)$\times10^3$
120.00	 2203(9)	 1001(3)	 3204(9)
130.00	 2209(7)	 819(3)	 3027(7)
140.00	 2130(5)	 686(3)	 2816(6)
150.00	 2003(4)	 589(2)	 2591(5)
160.00	 1909(4)	 509(2)	 2418(4)
170.00	 1792(3)	 453.0(17)	 2245(4)
180.00	 1693(3)	 407.2(15)	 2100(3)
190.00	 1612(3)	 369.0(15)	 1981(3)
200.00	 1547(2)	 335.6(13)	 1882(3)
210.00	 1483(2)	 306.9(12)	 1790(3)
220.00	 1420(2)	 283.3(11)	 1703(2)
230.00	 1377(2)	 264.5(11)	 1642(2)
240.00	 1340.2(19)	 247.5(10)	 1588(2)
250.00	 1304.4(19)	 231.2(9)	 1536(2)
260.00	 1280.2(17)	 220.3(9)	 1500.5(19)
270.00	 1253.1(17)	 208.4(8)	 1461.5(19)
280.00	 1234.5(16)	 195.1(8)	 1429.6(18)
290.00	 1211.0(15)	 186.0(7)	 1397.0(17)
300.00	 1196.8(15)	 178.0(7)	 1374.8(17)
310.00	 1182.4(15)	 169.2(6)	 1351.7(17)
320.00	 1168.2(15)	 161.7(6)	 1329.9(16)
330.00	 1158.8(15)	 156.5(6)	 1315.4(16)
340.00	 1147.7(14)	 150.5(6)	 1298.2(16)
350.00	 1141.8(14)	 143.6(6)	 1285.4(16)
360.00	 1133.2(13)	 138.4(5)	 1271.6(14)
370.00	 1125.2(14)	 134.7(5)	 1259.9(15)
380.00	 1121.1(14)	 130.2(5)	 1251.3(15)
390.00	 1114.7(14)	 125.8(5)	 1240.4(15)
400.00	 1108.8(13)	 121.7(5)	 1230.5(14)
410.00	 1106.5(13)	 117.7(5)	 1224.3(14)
420.00	 1103.2(13)	 114.9(4)	 1218.1(14)
430.00	 1098.7(13)	 110.9(4)	 1209.6(14)
440.00	 1095.5(13)	 108.6(4)	 1204.0(14)
450.00	 1094.7(13)	 105.1(4)	 1199.8(13)
460.00	 1090.0(13)	 102.6(4)	 1192.6(13)
470.00	 1087.6(13)	 100.1(4)	 1187.7(13)
480.00	 1086.5(12)	 97.7(4)	 1184.2(13)
490.00	 1083.0(12)	 95.4(4)	 1178.4(13)
500.00	 1079.5(12)	 92.7(4)	 1172.3(13)
520.00	 1076.7(13)	 89.3(3)	 1166.0(13)
540.00	 1073.3(12)	 85.0(3)	 1158.2(12)
560.00	 1068.5(12)	 81.7(3)	 1150.2(13)
580.00	 1066.2(12)	 78.8(3)	 1145.0(12)
600.00	 1062.7(12)	 75.9(3)	 1138.6(12)
620.00	 1057.8(12)	 73.6(3)	 1131.4(12)
640.00	 1057.1(12)	 70.8(3)	 1127.9(12)
660.00	 1051.2(12)	 68.6(2)	 1119.8(12)
680.00	 1049.7(12)	 66.6(3)	 1116.3(12)
700.00	 1045.7(12)	 64.8(2)	 1110.4(12)
720.00	 1043.5(12)	 62.7(2)	 1106.2(12)
740.00	 1041.0(11)	 61.0(2)	 1102.1(11)
760.00	 1038.2(11)	 59.5(2)	 1097.7(11)
780.00	 1036.4(11)	 57.2(2)	 1093.6(11)
800.00	 1029.5(11)	 56.3(2)	 1085.8(12)
820.00	 1028.5(11)	 55.27(19)	 1083.8(11)
840.00	 1025.1(12)	 53.56(19)	 1078.7(12)
860.00	 1021.5(11)	 52.11(18)	 1073.6(12)
880.00	 1018.9(11)	 51.15(18)	 1070.1(11)
900.00	 1016.7(11)	 49.64(17)	 1066.4(11)
920.00	 1012.4(11)	 48.98(17)	 1061.4(11)
940.00	 1008.3(11)	 48.00(18)	 1056.3(11)
960.00	 1007.8(11)	 46.56(17)	 1054.4(11)
980.00	 1004.3(11)	 46.22(16)	 1050.6(11)
1000.00	 999.9(11)	 44.86(15)	 1044.8(11)
1050.00	 991.1(11)	 42.85(15)	 1034.0(11)
1100.00	 983.3(11)	 41.24(14)	 1024.6(11)
1150.00	 976.4(11)	 39.62(14)	 1016.0(11)
1200.00	 967.7(11)	 38.08(12)	 1005.8(11)
1250.00	 961.0(10)	 36.58(12)	 997.6(11)
1300.00	 954.9(11)	 35.33(11)	 990.2(11)
1350.00	 945.9(10)	 33.93(11)	 979.8(10)
1400.00	 937.2(11)	 32.86(10)	 970.0(11)
1450.00	 931.5(10)	 31.88(10)	 963.4(10)
1500.00	 923.0(10)	 31.00(9)	 954.0(10)
1600.00	 907.7(10)	 29.17(9)	 936.8(10)
1700.00	 894.8(10)	 27.72(8)	 922.6(10)
1800.00	 881.2(10)	 26.23(8)	 907.5(10)
1900.00	 869.0(10)	 24.96(8)	 894.0(10)
2000.00	 854.6(10)	 24.10(7)	 878.7(10)
2200.00	 832.4(9)	 22.23(7)	 854.7(10)
2400.00	 806.6(9)	 20.54(6)	 827.1(9)
2600.00	 788.4(9)	 19.32(6)	 807.7(9)
2800.00	 768.7(9)	 18.12(5)	 786.8(9)
3000.00	 748.0(9)	 17.11(5)	 765.1(9)
