temperature	 b2cb8	 b2cb16	 b2cb32	 b2cb64
Temperature(\si{\kelvin})	 $\text{B}^{8}_2$(\si{cm^3/mol})	 $\text{B}^{16}_2$(\si{cm^3/mol})	 $\text{B}^{32}_2$(\si{cm^3/mol})	 $\text{B}^{64}_2$(\si{cm^3/mol})
50.00	 -646.6(5)	 -646.8(5)	 -646.0(6)	 -645.5(6)
55.00	 -522.6(5)	 -521.1(5)	 -522.5(4)	 -522.2(4)
60.00	 -433.9(4)	 -433.7(4)	 -433.9(4)	 -434.0(4)
65.00	 -368.3(3)	 -368.0(3)	 -367.6(3)	 -367.4(3)
70.00	 -317.1(3)	 -317.9(3)	 -317.3(3)	 -317.6(3)
75.00	 -277.4(2)	 -277.1(2)	 -277.0(2)	 -277.6(2)
80.00	 -245.12(19)	 -245.08(19)	 -245.0(2)	 -244.97(19)
85.00	 -218.00(18)	 -218.32(17)	 -218.02(18)	 -217.94(17)
90.00	 -195.96(16)	 -195.76(16)	 -195.75(16)	 -195.83(16)
95.00	 -176.73(14)	 -176.86(14)	 -176.69(14)	 -177.03(14)
100.00	 -160.60(14)	 -160.31(13)	 -160.35(13)	 -160.47(13)
110.00	 -133.84(11)	 -133.80(12)	 -133.72(11)	 -134.07(12)
120.00	 -112.99(11)	 -112.99(10)	 -113.17(11)	 -113.05(10)
130.00	 -96.54(10)	 -96.54(9)	 -96.56(10)	 -96.54(9)
140.00	 -83.12(9)	 -82.92(9)	 -83.10(9)	 -83.06(9)
150.00	 -71.72(8)	 -71.86(8)	 -71.75(8)	 -71.47(8)
160.00	 -62.23(8)	 -62.26(8)	 -62.27(8)	 -62.27(8)
170.00	 -54.15(7)	 -54.23(7)	 -54.27(7)	 -54.00(7)
180.00	 -47.34(7)	 -47.02(7)	 -47.04(7)	 -47.15(7)
190.00	 -40.92(7)	 -41.11(7)	 -41.00(7)	 -41.06(7)
200.00	 -35.63(7)	 -35.62(6)	 -35.75(6)	 -35.64(6)
210.00	 -30.95(6)	 -31.00(6)	 -30.95(6)	 -30.97(6)
220.00	 -26.68(6)	 -26.72(6)	 -26.78(6)	 -26.59(6)
230.00	 -22.86(6)	 -22.88(6)	 -22.83(6)	 -22.96(6)
240.00	 -19.60(6)	 -19.44(6)	 -19.43(6)	 -19.50(6)
250.00	 -16.43(6)	 -16.50(5)	 -16.44(5)	 -16.39(6)
260.00	 -13.66(5)	 -13.55(5)	 -13.58(5)	 -13.55(5)
270.00	 -10.99(5)	 -11.03(5)	 -10.96(5)	 -11.07(5)
