temperature	 b2scb8	 b2scb16	 b2scb32	 b2scb64
Temperature(\si{\kelvin})	 $\text{B}^{8}_2$(\si{cm^3/mol})	 $\text{B}^{16}_2$(\si{cm^3/mol})	 $\text{B}^{32}_2$(\si{cm^3/mol})	 $\text{B}^{64}_2$(\si{cm^3/mol})
50.00	 -645.8(6)	 -646.0(6)	 -645.4(6)	 -646.3(6)
55.00	 -522.0(4)	 -521.5(5)	 -521.0(5)	 -521.7(5)
60.00	 -434.2(4)	 -433.2(4)	 -433.5(4)	 -433.1(4)
65.00	 -367.5(3)	 -367.5(3)	 -367.8(3)	 -367.9(3)
70.00	 -317.5(3)	 -317.5(3)	 -317.2(3)	 -317.4(3)
75.00	 -277.0(2)	 -277.7(2)	 -277.0(2)	 -276.7(2)
80.00	 -245.08(19)	 -245.0(2)	 -244.8(2)	 -245.0(2)
85.00	 -217.87(17)	 -218.17(17)	 -217.82(18)	 -218.08(18)
90.00	 -195.82(16)	 -195.84(16)	 -195.46(16)	 -195.93(16)
95.00	 -176.57(15)	 -176.75(15)	 -176.74(15)	 -176.78(14)
100.00	 -160.33(13)	 -160.33(14)	 -160.33(13)	 -160.43(14)
110.00	 -133.79(12)	 -133.75(12)	 -133.71(12)	 -133.70(12)
120.00	 -113.10(10)	 -112.97(10)	 -113.06(11)	 -112.84(11)
130.00	 -96.42(9)	 -96.38(9)	 -96.59(9)	 -96.62(9)
140.00	 -83.00(9)	 -82.90(8)	 -83.06(9)	 -82.91(9)
150.00	 -71.75(8)	 -71.77(8)	 -71.65(8)	 -71.74(8)
160.00	 -62.15(8)	 -62.16(8)	 -62.23(8)	 -62.24(8)
170.00	 -54.11(7)	 -54.09(7)	 -54.19(7)	 -54.21(7)
180.00	 -47.08(7)	 -47.12(7)	 -47.14(7)	 -47.02(7)
190.00	 -41.06(7)	 -41.03(7)	 -40.88(7)	 -41.02(7)
200.00	 -35.63(6)	 -35.64(6)	 -35.74(7)	 -35.63(6)
210.00	 -31.01(6)	 -30.92(6)	 -30.92(6)	 -30.90(6)
220.00	 -26.57(6)	 -26.70(6)	 -26.59(6)	 -26.63(6)
230.00	 -22.91(6)	 -22.83(6)	 -22.94(6)	 -22.86(6)
240.00	 -19.51(6)	 -19.53(6)	 -19.44(5)	 -19.52(6)
