temperature	 b2tot
Temperature(\si{\kelvin})	 B$_2$(\si{cm^3/mol})
 50.00    -645.00(18)
 55.00    -521.53(15)
 60.00    -433.37(12)
 65.00    -367.87(10)
 70.00    -317.31(8)
 75.00    -277.17(7)
 80.00    -244.80(6)
 85.00    -218.11(6)
 90.00    -195.67(5)
 95.00    -176.68(4)
100.00    -160.26(4)
110.00    -133.70(4)
120.00    -113.07(3)
130.00     -96.45(3)
140.00     -82.92(3)
150.00     -71.71(3)
160.00     -62.26(2)
170.00     -54.14(2)
180.00     -47.12(2)
190.00     -40.98(2)
200.00     -35.64(2)
210.00     -30.911(19)
220.00     -26.680(19)
230.00     -22.850(18)
240.00     -19.482(18)
250.00     -16.393(17)
260.00     -13.561(17)
270.00     -10.972(16)
280.00      -8.619(16)
290.00      -6.497(16)
300.00      -4.503(15)
310.00      -2.633(15)
320.00      -0.945(15)
330.00       0.620(14)
340.00       2.121(14)
350.00       3.507(14)
360.00       4.751(14)
370.00       5.971(14)
380.00       7.119(13)
390.00       8.147(14)
400.00       9.172(13)
410.00      10.104(13)
420.00      11.001(13)
430.00      11.826(13)
440.00      12.645(13)
450.00      13.389(13)
460.00      14.100(12)
470.00      14.781(13)
480.00      15.408(12)
490.00      16.029(12)
500.00      16.602(12)
520.00      17.718(12)
540.00      18.673(12)
560.00      19.591(12)
580.00      20.402(11)
600.00      21.173(11)
620.00      21.881(11)
640.00      22.527(11)
660.00      23.097(11)
680.00      23.668(11)
700.00      24.183(11)
720.00      24.672(11)
740.00      25.114(11)
760.00      25.524(11)
780.00      25.908(11)
800.00      26.252(11)
820.00      26.599(10)
840.00      26.937(10)
860.00      27.221(10)
880.00      27.493(10)
900.00      27.751(10)
920.00      28.010(10)
940.00      28.229(10)
960.00      28.446(10)
980.00      28.654(10)
1000.00      28.847(10)
1050.00      29.296(10)
1100.00      29.661(10)
1150.00      30.010(10)
1200.00      30.285(9)
1250.00      30.519(9)
1300.00      30.741(9)
1350.00      30.936(9)
1400.00      31.095(9)
1450.00      31.225(9)
1500.00      31.352(9)
1600.00      31.556(9)
1700.00      31.699(8)
1800.00      31.798(8)
1900.00      31.855(8)
2000.00      31.904(8)
2200.00      31.911(8)
2400.00      31.854(7)
2600.00      31.765(8)
2800.00      31.647(7)
3000.00      31.488(7)
