temperature	 b2sc	 b3sca	 b3scna	 b3sctot
Temperature(\si{\kelvin})	 $\text{B}_2$(\si{cm^3/mol})	 $\text{B}^\text{A}_3$(\si{cm^6/mol^2})	 $\text{B}^\text{NA}_3$(\si{cm^6/mol^2})	 $\text{B}^\text{Tot}_3$(\si{cm^6/mol^2})
50.00	 -645.00(18)	 -3.690(5)$\times10^5$	 4.153(4)$\times10^4$	 -3.274(5)$\times10^5$
55.00	 -521.53(15)	 -1.748(3)$\times10^5$	 2.282(2)$\times10^4$	 -1.520(3)$\times10^5$
60.00	 -433.37(12)	 -8.950(13)$\times10^4$	 1.3965(14)$\times10^4$	 -7.554(13)$\times10^4$
65.00	 -367.87(10)	 -4.796(8)$\times10^4$	 9225(9)	 -3.874(8)$\times10^4$
70.00	 -317.31(8)	 -2.634(5)$\times10^4$	 6493(7)	 -1.985(5)$\times10^4$
75.00	 -277.17(7)	 -1.443(3)$\times10^4$	 4790(5)	 -9.64(3)$\times10^3$
80.00	 -244.80(6)	 -7.61(2)$\times10^3$	 3682(4)	 -3.92(2)$\times10^3$
85.00	 -218.11(6)	 -3.669(15)$\times10^3$	 2927(3)	 -7.43(15)$\times10^2$
90.00	 -195.67(5)	 -1.242(11)$\times10^3$	 2381(3)	 1.139(11)$\times10^3$
95.00	 -176.68(4)	 209(8)	 1985(2)	 2195(8)
100.00	 -160.26(4)	 1088(6)	 1686.4(19)	 2775(7)
110.00	 -133.70(4)	 1942(4)	 1268.7(15)	 3211(4)
120.00	 -113.07(3)	 2194(3)	 998.1(12)	 3192(3)
130.00	 -96.45(3)	 2206(2)	 814.9(10)	 3021(2)
140.00	 -82.92(3)	 2129.1(18)	 684.5(8)	 2814(2)
150.00	 -71.71(3)	 2017.1(15)	 586.6(7)	 2603.8(17)
160.00	 -62.26(2)	 1903.9(13)	 512.6(6)	 2416.5(14)
170.00	 -54.14(2)	 1794.7(11)	 452.3(6)	 2247.0(13)
180.00	 -47.12(2)	 1698.9(10)	 405.3(5)	 2104.2(11)
190.00	 -40.98(2)	 1614.5(9)	 366.9(5)	 1981.4(10)
