temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -235.5(5)	 -222.5(5)	 -207.2(5)	 -215.4(3)
100.00	 -192.2(4)	 -182.8(4)	 -170.6(4)	 -177.1(3)
140.00	 -102.2(3)	 -96.9(3)	 -89.4(3)	 -93.33(17)
170.00	 -69.4(2)	 -65.9(2)	 -60.7(2)	 -63.36(14)
210.00	 -44.03(18)	 -41.06(17)	 -37.06(17)	 -39.17(11)
220.00	 -39.47(17)	 -36.66(17)	 -32.90(16)	 -34.88(11)
250.00	 -28.22(15)	 -25.90(15)	 -22.31(16)	 -24.17(10)
310.00	 -13.79(14)	 -11.51(14)	 -8.65(13)	 -10.17(9)
380.00	 -2.90(12)	 -1.42(12)	 1.05(12)	 -0.21(8)
400.00	 -0.83(11)	 0.82(12)	 3.24(11)	 1.98(8)
406.00	 -0.30(12)	 1.31(12)	 3.53(12)	 2.36(8)
600.00	 12.19(10)	 13.52(10)	 15.02(10)	 14.21(7)
800.00	 17.89(10)	 18.76(10)	 20.58(10)	 19.67(6)
1000.00	 20.79(9)	 21.67(9)	 23.29(9)	 22.47(6)
1400.00	 23.71(8)	 24.51(9)	 25.89(9)	 25.19(6)
