temperature	 b2cb0	 b2cb1	 b2cb2	 b2cbtot
Temperature(\si{\kelvin})	 $\text{B}^{0}_2$(\si{cm^3/mol})	 $\text{B}^{1}_2$(\si{cm^3/mol})	 $\text{B}^{2}_2$(\si{cm^3/mol})	 $\text{B}_2$(\si{cm^3/mol})
90.00	 -258.1(5)	 -236.6(5)	 -209.9(5)	 -224.1(3)
100.00	 -210.7(5)	 -194.0(4)	 -171.7(4)	 -183.5(3)
140.00	 -111.8(3)	 -102.5(3)	 -90.6(3)	 -96.94(17)
170.00	 -76.5(2)	 -70.4(2)	 -61.0(2)	 -65.84(14)
210.00	 -49.00(19)	 -44.59(18)	 -37.70(17)	 -41.25(11)
220.00	 -44.04(17)	 -39.82(17)	 -33.00(17)	 -36.50(11)
250.00	 -32.01(16)	 -28.47(16)	 -22.86(16)	 -25.74(10)
310.00	 -16.34(14)	 -13.43(13)	 -9.04(14)	 -11.32(9)
380.00	 -5.44(13)	 -2.97(13)	 0.65(12)	 -1.23(8)
400.00	 -3.17(12)	 -0.88(12)	 3.05(12)	 1.05(8)
406.00	 -2.40(12)	 -0.16(11)	 3.67(11)	 1.72(7)
600.00	 10.69(10)	 12.54(10)	 15.06(11)	 13.73(7)
800.00	 16.71(9)	 18.07(10)	 20.23(10)	 19.12(6)
1000.00	 19.84(9)	 21.06(9)	 23.15(9)	 22.08(6)
1400.00	 22.89(9)	 23.86(9)	 25.73(9)	 24.79(6)
