temperature	 b2sc	 b3sca	 b3scna	 b3sctot
Temperature(\si{\kelvin})	 B$_2$(\si{cm^3/mol})	 B$^\text{A}_3$(\si{cm^6/mol^2})	 B$^\text{NA}_3$(\si{cm^6/mol^2})	 B$^\text{Tot}_3$(\si{cm^6/mol^2})
273.15	 -1586(2)	 -9.3(6)$\times10^5$	 -3.74(12)$\times10^7$	 -3.83(12)$\times10^7$
293.15	 -1118.4(14)	 -3.06(19)$\times10^5$	 -1.11(3)$\times10^7$	 -1.14(3)$\times10^7$
295.15	 -1083.0(13)	 -2.71(17)$\times10^5$	 -1.00(3)$\times10^7$	 -1.03(3)$\times10^7$
298.15	 -1033.1(12)	 -2.38(15)$\times10^5$	 -8.3(3)$\times10^6$	 -8.5(3)$\times10^6$
323.15	 -723.5(7)	 -4.6(5)$\times10^4$	 -2.41(7)$\times10^6$	 -2.45(7)$\times10^6$
373.15	 -411.3(3)	 1.73(11)$\times10^4$	 -3.14(8)$\times10^5$	 -2.97(8)$\times10^5$
423.15	 -265.7(2)	 1.52(3)$\times10^4$	 -6.29(15)$\times10^4$	 -4.77(15)$\times10^4$
448.15	 -220.35(18)	 1.26(2)$\times10^4$	 -3.12(8)$\times10^4$	 -1.87(8)$\times10^4$
473.15	 -185.67(16)	 1.030(15)$\times10^4$	 -1.64(5)$\times10^4$	 -6.1(5)$\times10^3$
523.15	 -136.68(12)	 6.88(9)$\times10^3$	 -4.8(2)$\times10^3$	 2.1(2)$\times10^3$
573.15	 -104.30(9)	 4.76(5)$\times10^3$	 -1.32(11)$\times10^3$	 3.44(13)$\times10^3$
673.15	 -65.09(6)	 2.54(2)$\times10^3$	 3.2(4)$\times10^2$	 2.86(5)$\times10^3$
773.15	 -42.83(5)	 1.553(12)$\times10^3$	 5.4(2)$\times10^2$	 2.09(2)$\times10^3$
873.15	 -28.81(5)	 1057(8)	 5.41(14)$\times10^2$	 1.599(16)$\times10^3$
973.15	 -19.32(5)	 785(7)	 5.09(10)$\times10^2$	 1.293(12)$\times10^3$
1000.00	 -17.28(4)	 734(6)	 500(10)	 1.234(12)$\times10^3$
1100.00	 -11.04(4)	 593(5)	 467(8)	 1060(10)
1200.00	 -6.36(4)	 505(4)	 441(6)	 946(8)
1300.00	 -2.73(3)	 447(4)	 419(5)	 866(6)
1400.00	 0.15(3)	 408(3)	 402(4)	 810(5)
1500.00	 2.49(3)	 381(3)	 388(4)	 769(5)
1600.00	 4.41(3)	 362(3)	 376(3)	 738(4)
1800.00	 7.39(4)	 339(3)	 358(4)	 697(5)
2000.00	 9.58(5)	 326(3)	 345(4)	 671(6)
2500.00	 13.12(7)	 315(5)	 325(6)	 640(8)
3000.00	 15.23(8)	 315(6)	 313(7)	 628(9)
